open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,ignore,1_day_return,7_day_return,7_day_volatility,rsi,macd,sma20,sma50,sma200,bb_high,bb_low,bb_width,stoch,future_return,label,signal
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,1695686399999,688252596.3809944,873488,12654.58207,331622453.1518055,0,0.0021498469619840588,-0.01710228225977295,0.011745026437708377,46.287817223078434,-39.88459334219806,26323.916999999998,26886.045799999996,27888.16325,27275.267225418433,25372.566774581563,0.07233279582087344,49.88457074346652,-0.0031606386816709353,1,HOLD
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,1695772799999,485217905.0421048,697727,8813.76144,231246870.5474588,0,-0.0031606386816709353,-0.03633151612663754,0.008222669365598508,45.09450665518702,-57.97660662105045,26347.002999999997,26826.258,27918.51815,27264.289504971977,25429.716495028017,0.0699640034347149,26.60811911131788,0.005770799495226742,1,HOLD
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,1695859199999,918797815.048481,939690,16813.75506,444221386.42614096,0,0.005770799495226742,-0.02772387096774187,0.009230489321699323,47.73548422212929,-59.41944771848648,26352.902499999997,26758.3094,27948.10445,27269.263493405277,25436.541506594716,0.0694923854599179,25.61967972888818,0.024585759900564774,1,HOLD
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,1695945599999,1193420040.1309185,1158974,22463.19242,602340703.6015062,0,0.024585759900564774,0.0170622039680699,0.011267227662994454,57.22904648960221,-8.148517550169345,26408.446999999996,26707.0974,27973.22585,27345.254246686163,25471.63975331383,0.0693381981227588,69.04581711997106,-0.004234793250828317,1,HOLD
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,1696031999999,767827314.931909,878610,14409.35554,388591243.2591525,0,-0.004234793250828317,0.012295646298326579,0.011543301170539274,55.31927958470904,22.985556143525173,26458.714500000002,26656.1216,27987.19325,27389.21265934193,25528.216340658073,0.06916412402901917,61.38194774664959,0.002066379851161315,1,HOLD
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,1696118399999,345406056.6806953,534908,6221.24272,167818583.0599575,0,0.002066379851161315,0.01454698155776879,0.011510886436172901,56.08608572123555,51.55173289905724,26514.762,26606.852199999998,27998.654,27424.635617764427,25604.88838223557,0.06749163415969608,65.10571893564452,0.03820149125305594,2,BUY
2023-10-01,26962.57,28065.51,26954.09,27992.57,24602.81468,1696204799999,674657121.9944204,883593,12815.98694,351622961.4701274,0,0.03820149125305594,0.06644943421270177,0.015933732008859246,67.28668579642485,155.51119636394287,26656.2645,26578.1002,28017.18855,27561.167689263217,25751.361310736786,0.0646530982516586,96.48490397821746,-0.017792578530660186,1,HOLD
2023-10-02,27992.58,28580.0,27281.44,27494.51,57071.14241,1696291199999,1600944483.4902065,1464158,28423.61,797598852.4797783,0,-0.017792578530660186,0.04522746980495196,0.018933922378918847,59.3974995271351,195.4574290345663,26738.984999999997,26541.913600000003,28029.667199999996,27632.73287434698,25845.237125653013,0.06501282433089252,58.081744248013116,-0.0024750395624435484,1,HOLD
2023-10-03,27494.51,27676.52,27160.5,27426.46,28928.96555,1696377599999,794301815.4265021,1202377,13562.03527,372402100.79675114,0,-0.0024750395624435484,0.04594634895489125,0.018877363870763945,58.39016453553445,219.0984098558838,26799.208000000002,26501.8242,28029.823849999997,27707.69448920265,25890.721510797353,0.0662489062899586,55.45386439290374,0.012838332034101452,1,HOLD
2023-10-04,27426.45,27839.72,27202.0,27778.57,29816.142,1696463999999,820421385.2557852,1188381,15077.70185,414806576.3484014,0,0.012838332034101452,0.053296194326088786,0.019014819497244453,61.982857785529745,263.2122448599839,26862.0,26473.3956,28034.179249999997,27855.034908006644,25868.965091993356,0.07149647429703145,69.05126006935595,-0.013254101993011136,1,HOLD
