open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,1_day_return,7_day_return,7_day_volatility,rsi,macd,sma20,sma50,sma200,bb_high,bb_low,stochastic_oscillator
2023-09-12,25162.53,26567.0,25131.48,25840.1,56434.38537,2023-09-12 23:59:59.999,1464393036.9616623,1047056,27720.5183,719147319.9787064,0.026928145511657675,0.001861034968071662,0.01808814650697371,42.78029499608677,-512.1119190714417,26068.5745,27576.789,27630.3612,27129.522592009413,25007.626407990585,32.74898258804488
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,2023-09-13 23:59:59.999,825437881.4687591,714880,15287.00038,399099781.6207648,0.01477935456906132,0.0179367584176211,0.018842637091273623,47.50316316579778,-448.6820324463042,26070.672,27516.6508,27645.685849999998,27132.658711453307,25008.68528854669,49.171601817972046
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,2023-09-14 23:59:59.999,1015267319.7730228,799278,19440.45467,514863794.3783894,0.011468614140797806,0.01019729575318995,0.017914915573448258,50.937343134289,-369.88320922209095,26093.807999999997,27460.0662,27660.52525,27173.865048837426,25013.75095116257,82.76286176505101
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,2023-09-15 23:59:59.999,695203258.0004445,654094,12600.39115,334045930.7667212,0.0029133501717206745,0.026610833445900317,0.01670492190738334,51.80964910387774,-297.76705758805474,26122.9395,27407.6106,27676.0648,27224.395884147107,25021.483115852894,85.50578761952693
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,2023-09-16 23:59:59.999,370889866.4592735,526416,6508.91352,172926781.3888423,-0.001516165413533943,0.025406142706958956,0.016760125688871506,51.29700988797689,-241.08965038089445,26145.834499999997,27352.521199999996,27693.1553,27263.49568231708,25028.173317682915,83.4760946149974
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,2023-09-17 23:59:59.999,344703727.5601071,476775,6359.89459,168675580.016463,-0.0012108584180451354,0.02654246387899195,0.016698954096857437,50.86480363225595,-196.50228404616064,26166.21,27296.0134,27707.648,27296.036370571786,25036.383629428212,81.85757423251124
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,2023-09-18 23:59:59.999,1158780347.6253047,938705,21551.71605,580912488.7594309,0.00885872816559119,0.06358623858023749,0.010105653293891842,53.92005835299782,-140.5833812591627,26118.5185,27245.641799999998,27724.13395,27044.771081950737,25192.26591804926,74.22288676236037
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,2023-09-19 23:59:59.999,981539255.55962,898076,17851.15558,484061308.12493294,0.016730493514995448,0.053024562598442015,0.007460588336180181,59.13403308815435,-59.4522365541452,26114.032,27205.201999999997,27748.41355,27017.950276363197,25210.1137236368,89.41713099741725
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,2023-09-20 23:59:59.999,927206075.9626272,867288,16983.43086,460402346.17078334,-0.0031333768953327734,0.03443673251468238,0.007591281992388448,57.79303873451369,-2.0117985481701908,26173.243,27153.582199999997,27772.305699999997,27173.968980757676,25172.51701924232,86.11576840124373
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,2023-09-21 23:59:59.999,920768143.3513128,823416,16878.78202,450738363.8506985,-0.020531612903225693,0.0017098541515145893,0.011556872783309642,49.84210720090434,-1.4123465657321503,26211.394500000002,27101.223599999998,27792.9949,27211.242675983944,25211.54632401606,64.55120287155825
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,2023-09-22 23:59:59.999,484331618.9485319,567149,8484.09679,225805692.72356927,0.00045392817245337724,-0.0007466165413534398,0.011501487273657372,50.00251659752495,0.035455945475405315,26246.926,27048.953599999997,27813.8456,27246.1577406565,25247.694259343498,65.0181795653167
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,2023-09-23 23:59:59.999,250873957.3886738,421717,4387.1973,116581214.130133,-0.00015726027026197187,0.0006133359337672228,0.011484067777587861,49.94289852603606,0.83592280245648,26277.163500000002,26998.193,27835.735599999996,27277.79113204422,25276.535867955783,64.8563252883755
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,2023-09-24 23:59:59.999,416368301.3736848,545045,7547.06342,200078452.01675767,-0.012326177492741452,-0.01052228422494228,0.01243200841392404,45.376795906373296,-24.678194877149508,26298.2815,26941.717999999997,27858.450299999997,27277.531919846948,25319.031080153054,52.17206116387944
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,2023-09-25 23:59:59.999,688252596.3809944,873488,12654.58207,331622453.1518055,0.0021498469619840588,-0.01710228225977295,0.01174502643770839,46.28780390154208,-39.88511676427879,26323.917000000005,26886.0458,27888.16325,27275.26722541829,25372.56677458172,49.88457074346652
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,2023-09-26 23:59:59.999,485217905.0421048,697727,8813.76144,231246870.5474588,-0.0031606386816709353,-0.03633151612663754,0.008222669365598534,45.094494149448366,-57.977091271124664,26347.003000000004,26826.257999999998,27918.51815,27264.289504971828,25429.71649502818,26.60811911131788
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,2023-09-27 23:59:59.999,918797815.048481,939690,16813.75506,444221386.42614096,0.005770799495226742,-0.02772387096774187,0.009230489321699344,47.73547132278998,-59.419896468556544,26352.902500000004,26758.3094,27948.104450000003,27269.263493405128,25436.54150659488,25.61967972888818
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,2023-09-28 23:59:59.999,1193420040.1309185,1158974,22463.19242,602340703.6015062,0.024585759900564774,0.0170622039680699,0.011267227662994463,57.22903300592228,-8.148933059495903,26408.447000000004,26707.097400000002,27973.22585,27345.254246686018,25471.63975331399,69.04581711997106
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,2023-09-29 23:59:59.999,767827314.931909,878610,14409.35554,388591243.2591525,-0.004234793250828317,0.012295646298326579,0.011543301170539285,55.31926712023107,22.985171412670752,26458.714499999995,26656.121600000002,27987.193249999997,27389.21265934177,25528.21634065822,61.38194774664959
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,2023-09-30 23:59:59.999,345406056.6806953,534908,6221.24272,167818583.0599575,0.002066379851161315,0.01454698155776879,0.01151088643617291,56.08607324603249,51.55137666678638,26514.762,26606.852199999998,27998.654000000002,27424.63561776427,25604.888382235727,65.10571893564452
